,タイトル,製作年度,上映時間,製作国,ジャンル1,ジャンル2,ジャンル3,ジャンル4,平均評価,評価数,5点評価の割合,4点評価の割合,3点評価の割合,2点評価の割合,1点評価の割合,物語,配役,演出,映像,音楽,詳細url
101,亜人,2017年,109分,日本,アクション,サスペンス,SF,ジャンル記載なし,3.99,6050,44.1,27.6,16.9,5.7,5.7,3.33286,4.08005,3.80168,4.15633,3.83852,https://movies.yahoo.co.jp/movie/360428
102,最強のふたり,2011年,113分,フランス,コメディ,ドラマ,ジャンル記載なし,ジャンル記載なし,4.3,6047,50.5,33.9,11.8,2.5,1.4,4.34018,4.56635,4.27085,4.14111,4.36244,https://movies.yahoo.co.jp/movie/341701
103,シン・エヴァンゲリオン劇場版:||,2020年,155分,日本,SF,アクション,アニメ,ジャンル記載なし,4.25,6032,61.8,18.8,8.5,4.3,6.5,3.73673,4.26198,3.97118,4.28028,4.13836,https://movies.yahoo.co.jp/movie/364985
104,映画 ビリギャル,2015年,117分,日本,ドラマ,青春,ジャンル記載なし,ジャンル記載なし,4.06,5988,47.1,28.8,12.8,5.0,6.2,4.15602,4.44142,4.03321,3.77105,3.67852,https://movies.yahoo.co.jp/movie/351029
105,ちはやふる -上の句-,2016年,111分,日本,青春,ドラマ,ジャンル記載なし,ジャンル記載なし,3.93,5967,43.7,29.6,12.9,3.8,10.1,4.02781,4.15994,3.97214,4.14902,3.80892,https://movies.yahoo.co.jp/movie/354163
106,何者,2016年,98分,日本,青春,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,2.88,5956,20.7,17.3,19.8,14.2,28.0,3.34379,4.07623,3.42578,3.29129,3.64661,https://movies.yahoo.co.jp/movie/356332
107,借りぐらしのアリエッティ,2010年,94分,日本,ドラマ,ファンタジー,アニメ,ジャンル記載なし,3.43,5938,20.8,30.8,27.1,13.4,8.0,2.96493,3.32822,3.28258,4.16755,3.89606,https://movies.yahoo.co.jp/movie/335800
108,藁の楯　わらのたて,2013年,125分,日本,アクション,サスペンス,ジャンル記載なし,ジャンル記載なし,3.91,5931,52.9,12.8,15.3,10.3,8.7,2.90792,3.61697,2.84241,3.03177,2.6923,https://movies.yahoo.co.jp/movie/344222
109,桐島、部活やめるってよ,2012年,103分,日本,青春,ドラマ,ジャンル記載なし,ジャンル記載なし,3.99,5920,51.2,19.1,15.1,7.0,7.5,3.58305,4.10282,3.84745,3.66779,3.4562,https://movies.yahoo.co.jp/movie/342041
110,モアナと伝説の海,2016年,107分,アメリカ,アドベンチャー,ファンタジー,ミュージカル,アニメ,3.92,5920,41.6,29.2,16.6,4.4,8.2,3.67862,3.92633,4.02668,4.74375,4.39593,https://movies.yahoo.co.jp/movie/357342
111,関ヶ原,2017年,149分,日本,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.08,5912,20.2,19.0,25.9,19.1,15.9,2.74092,3.48397,2.57955,3.27018,2.91749,https://movies.yahoo.co.jp/movie/359429
112,告白,2010年,106分,日本,サスペンス,ドラマ,ジャンル記載なし,ジャンル記載なし,3.9,5905,36.6,35.1,16.2,6.1,6.1,3.97415,4.26446,4.05516,4.07041,3.85,https://movies.yahoo.co.jp/movie/335612
113,キングスマン：ゴールデン・サークル,2017年,140分,イギリス,アクション,アドベンチャー,サスペンス,ジャンル記載なし,3.94,5872,32.6,39.9,19.5,5.5,2.6,3.23485,4.13737,3.77695,4.06646,3.83875,https://movies.yahoo.co.jp/movie/360777
114,コンフィデンスマンJP,2019年,116分,日本,コメディ,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,4.02,5845,42.3,31.5,16.8,5.0,4.4,4.06132,4.36904,4.017,3.90306,3.88074,https://movies.yahoo.co.jp/movie/366008
115,無限の住人,2017年,141分,日本,アクション,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.63,5762,43.6,16.9,14.1,9.7,15.7,3.18482,3.83592,3.36734,3.65761,3.54757,https://movies.yahoo.co.jp/movie/354343
116,ゼロ・グラビティ,2013年,91分,アメリカ,サスペンス,SF,ジャンル記載なし,ジャンル記載なし,3.66,5739,28.7,32.0,23.2,9.2,7.0,3.17767,3.92406,3.93682,4.62065,3.67367,https://movies.yahoo.co.jp/movie/346608
117,ガールズ＆パンツァー　劇場版,2015年,120分,日本,ドラマ,アクション,アニメ,ジャンル記載なし,4.55,5737,81.2,7.5,3.4,1.3,6.6,4.14062,4.45611,4.68544,4.76766,4.66771,https://movies.yahoo.co.jp/movie/351822
118,七つの会議,2018年,119分,日本,ドラマ,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.95,5693,32.3,40.5,20.4,3.9,2.9,4.08035,4.25297,3.85394,3.70597,3.42128,https://movies.yahoo.co.jp/movie/364877
119,バック・トゥ・ザ・フューチャー,1985年,116分,アメリカ,SF,コメディ,ジャンル記載なし,ジャンル記載なし,4.59,5675,75.3,16.2,4.0,1.4,3.1,4.84284,4.793,4.77077,4.64658,4.79037,https://movies.yahoo.co.jp/movie/18114
120,メッセージ,2016年,116分,アメリカ,SF,ドラマ,ジャンル記載なし,ジャンル記載なし,3.55,5671,22.4,33.7,26.8,11.3,5.9,3.48259,3.6295,3.55168,3.82229,3.4575,https://movies.yahoo.co.jp/movie/358130
121,本能寺ホテル,2017年,120分,日本,コメディ,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.77,5653,40.5,20.9,21.4,8.8,8.3,2.90744,3.86569,2.97277,3.31147,3.06727,https://movies.yahoo.co.jp/movie/358066
122,秒速5センチメートル,2007年,60分,日本,ロマンス,ドラマ,青春,アニメ,3.56,5595,35.7,23.1,16.9,10.0,14.3,3.48823,3.52023,3.84633,4.57344,4.17529,https://movies.yahoo.co.jp/movie/326527
123,インデペンデンス・デイ：リサージェンス,2016年,120分,アメリカ,SF,アクション,ジャンル記載なし,ジャンル記載なし,2.67,5588,10.3,14.8,27.9,25.3,21.7,1.94694,2.67027,2.32003,3.56552,2.60778,https://movies.yahoo.co.jp/movie/355228
124,海よりもまだ深く,2016年,117分,日本,コメディ,ドラマ,ジャンル記載なし,ジャンル記載なし,3.88,5567,17.9,62.6,12.2,4.0,3.3,3.54518,4.3293,3.81873,3.56363,3.51063,https://movies.yahoo.co.jp/movie/355278
125,ブラック・スワン,2010年,108分,アメリカ,サスペンス,ドラマ,ジャンル記載なし,ジャンル記載なし,3.96,5524,37.1,34.9,17.9,6.7,3.4,3.6,4.36681,3.94043,3.96614,3.95914,https://movies.yahoo.co.jp/movie/337733
126,アリー/ スター誕生,2018年,136分,アメリカ,ドラマ,ロマンス,ジャンル記載なし,ジャンル記載なし,3.73,5502,19.5,48.1,21.7,7.2,3.6,3.10704,4.13904,3.39943,3.59718,4.41549,https://movies.yahoo.co.jp/movie/364566
127,スパイダーマン：ホームカミング,2017年,133分,アメリカ,アクション,青春,ジャンル記載なし,ジャンル記載なし,3.73,5483,26.2,37.2,25.0,6.6,5.1,3.32276,3.80691,3.53314,3.86023,3.38896,https://movies.yahoo.co.jp/movie/359026
128,アメリカン・スナイパー,2014年,132分,アメリカ,ドラマ,戦争,アクション,ジャンル記載なし,4.01,5473,33.4,42.5,18.2,3.7,2.2,3.92198,4.21747,4.11393,4.17192,3.51688,https://movies.yahoo.co.jp/movie/350823
129,ゴーン・ガール,2014年,149分,アメリカ,サスペンス,ドラマ,ジャンル記載なし,ジャンル記載なし,3.71,5468,21.6,42.0,25.4,7.4,3.6,3.75374,4.13568,3.84919,3.73126,3.47052,https://movies.yahoo.co.jp/movie/350277
130,言の葉の庭,2013年,45分,日本,ロマンス,アニメ,ジャンル記載なし,ジャンル記載なし,3.57,5423,34.1,25.5,17.5,9.4,13.6,3.24358,3.51933,3.68692,4.61678,3.91192,https://movies.yahoo.co.jp/movie/344686
131,バットマン vs スーパーマン　ジャスティスの誕生,2016年,152分,アメリカ,アクション,SF,アドベンチャー,ジャンル記載なし,3.21,5417,16.3,23.7,33.8,17.0,9.2,2.61862,3.59402,3.05856,3.77408,3.29,https://movies.yahoo.co.jp/movie/353277
132,シェイプ・オブ・ウォーター,2017年,124分,アメリカ,ファンタジー,ロマンス,サスペンス,ジャンル記載なし,3.62,5407,24.0,34.3,26.9,9.3,5.5,3.29206,3.93734,3.65379,4.05783,3.7642,https://movies.yahoo.co.jp/movie/361841
133,グラン・トリノ,2008年,117分,アメリカ,ドラマ,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,4.36,5391,55.4,30.7,10.1,2.3,1.5,4.37506,4.50715,4.41483,4.21465,4.20164,https://movies.yahoo.co.jp/movie/332286
134,アベンジャーズ／エイジ・オブ・ウルトロン,2015年,142分,アメリカ,アクション,アドベンチャー,ジャンル記載なし,ジャンル記載なし,3.79,5380,28.6,35.4,25.5,6.8,3.6,3.05501,4.13106,3.62843,4.25363,3.52674,https://movies.yahoo.co.jp/movie/352157
135,ターミネーター：ニュー・フェイト,2019年,129分,アメリカ,SF,アクション,ジャンル記載なし,ジャンル記載なし,3.61,5373,24.9,34.8,24.5,8.6,7.2,2.96907,3.80174,3.43657,3.88095,3.43047,https://movies.yahoo.co.jp/movie/367854
136,ドクター・ストレンジ,2016年,115分,アメリカ,アクション,アドベンチャー,ジャンル記載なし,ジャンル記載なし,3.69,5354,22.8,37.1,29.3,7.8,3.0,3.12233,3.98252,3.66731,4.40661,3.35477,https://movies.yahoo.co.jp/movie/357823
137,レヴェナント：蘇えりし者,2015年,156分,アメリカ,アクション,ドラマ,アドベンチャー,ジャンル記載なし,3.64,5347,23.5,36.4,26.3,8.5,5.4,3.02055,4.08859,3.80387,4.44471,3.68004,https://movies.yahoo.co.jp/movie/354289
138,IT／イット “それ”が見えたら、終わり。,2017年,135分,アメリカ,ホラー,青春,ジャンル記載なし,ジャンル記載なし,3.32,5340,18.3,28.5,29.4,14.3,9.5,3.10391,3.66846,3.19298,3.41509,3.09568,https://movies.yahoo.co.jp/movie/361609
139,ワンダーウーマン,2017年,141分,アメリカ,アクション,アドベンチャー,ドラマ,ジャンル記載なし,3.76,5329,30.1,34.4,22.9,6.3,6.2,3.38147,4.22993,3.64305,3.98637,3.70901,https://movies.yahoo.co.jp/movie/358186
140,シンデレラ,2015年,105分,アメリカ,ファンタジー,ロマンス,ジャンル記載なし,ジャンル記載なし,3.92,5326,39.7,30.4,18.3,5.4,6.2,4.05986,4.10899,4.11972,4.52933,3.97948,https://movies.yahoo.co.jp/movie/350870
141,キングコング：髑髏島の巨神,2017年,118分,アメリカ,アドベンチャー,アクション,ファンタジー,ジャンル記載なし,3.63,5320,22.9,35.9,27.9,8.2,5.1,3.09709,3.40277,3.67128,4.28337,3.34683,https://movies.yahoo.co.jp/movie/358653
142,紙の月,2014年,126分,日本,ドラマ,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,4.01,5319,49.8,18.2,19.7,7.8,4.5,3.198,3.73754,3.29933,3.33055,3.17281,https://movies.yahoo.co.jp/movie/349551
143,ドラゴンクエスト　ユア・ストーリー,2019年,103分,日本,アドベンチャー,アニメ,ジャンル記載なし,ジャンル記載なし,2.54,5306,18.6,13.9,13.0,11.8,42.7,2.26156,2.89788,2.46195,3.79229,3.96313,https://movies.yahoo.co.jp/movie/367173
144,名探偵コナン　から紅の恋歌（ラブレター）,2017年,112分,日本,サスペンス,アドベンチャー,アニメ,ジャンル記載なし,3.78,5276,42.2,23.8,15.0,8.0,11.0,3.6112,3.7425,3.60387,4.13708,4.24295,https://movies.yahoo.co.jp/movie/358936
145,僕だけがいない街,2016年,120分,日本,サスペンス,SF,ジャンル記載なし,ジャンル記載なし,3.13,5257,15.8,24.0,31.7,14.4,14.2,2.9022,3.80503,2.90174,3.10301,2.92405,https://movies.yahoo.co.jp/movie/354576
146,メアリと魔女の花,2017年,102分,日本,ファンタジー,アニメ,ジャンル記載なし,ジャンル記載なし,2.95,5209,15.4,18.7,28.7,20.1,17.1,2.45521,2.79108,2.63627,3.52394,3.1073,https://movies.yahoo.co.jp/movie/359126
147,クリーピー　偽りの隣人,2016年,130分,日本,サスペンス,ホラー,ジャンル記載なし,ジャンル記載なし,2.53,5195,11.2,14.2,22.2,20.8,31.6,2.11415,3.58031,2.40183,2.71917,2.41244,https://movies.yahoo.co.jp/movie/353643
148,プラダを着た悪魔,2006年,110分,アメリカ,コメディ,ドラマ,ロマンス,ジャンル記載なし,4.08,5187,36.8,41.8,16.2,3.5,1.7,3.77851,4.42108,3.96933,4.12109,3.96271,https://movies.yahoo.co.jp/movie/325271
149,64-ロクヨン-前編,2016年,121分,日本,ドラマ,サスペンス,ジャンル記載なし,ジャンル記載なし,3.55,5139,24.3,35.0,23.2,7.0,10.6,3.76022,4.17472,3.5,3.60408,3.33333,https://movies.yahoo.co.jp/movie/354941
150,硫黄島からの手紙,2006年,141分,アメリカ,ドラマ,戦争,ジャンル記載なし,ジャンル記載なし,3.96,5131,41.1,31.2,16.6,4.6,6.5,3.85624,4.04768,3.88979,3.99555,3.80185,https://movies.yahoo.co.jp/movie/324563
151,オール・ユー・ニード・イズ・キル,2014年,113分,アメリカ,SF,アクション,ジャンル記載なし,ジャンル記載なし,3.95,5118,30.8,42.0,20.2,5.0,2.0,3.93305,4.21443,4.07345,4.20461,3.54736,https://movies.yahoo.co.jp/movie/348085
152,記憶にございません！,2019年,127分,日本,コメディ,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.77,5115,27.3,38.7,21.9,7.2,4.9,3.45235,4.25086,3.60138,3.38523,3.22427,https://movies.yahoo.co.jp/movie/367984
153,空飛ぶタイヤ,2018年,120分,日本,ドラマ,サスペンス,ジャンル記載なし,ジャンル記載なし,3.98,5110,33.5,41.6,17.7,4.0,3.2,4.23355,4.13838,3.67272,3.60495,3.4437,https://movies.yahoo.co.jp/movie/361755
154,僕のワンダフル・ライフ,2016年,100分,アメリカ,ドラマ,ファミリー,ファンタジー,ジャンル記載なし,4.22,5083,49.8,30.8,13.2,3.5,2.7,4.10361,4.16006,4.07401,4.14851,3.85903,https://movies.yahoo.co.jp/movie/360962
155,きっと、うまくいく,2009年,170分,インド,青春,コメディ,ドラマ,ジャンル記載なし,4.27,5077,61.1,19.7,8.7,6.5,4.0,4.52262,4.55571,4.40702,4.3538,4.40175,https://movies.yahoo.co.jp/movie/345047
156,悪人,2010年,139分,日本,ドラマ,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.99,5072,41.6,29.8,18.2,6.9,3.4,3.73861,4.40745,3.83064,3.85339,3.79091,https://movies.yahoo.co.jp/movie/336818
157,十二人の死にたい子どもたち,2018年,118分,日本,サスペンス,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.39,5070,9.6,51.8,17.2,10.8,10.6,2.48983,3.31428,2.55236,2.59465,2.41769,https://movies.yahoo.co.jp/movie/365575
158,もののけ姫,1997年,135分,日本,ファンタジー,ファミリー,アニメ,ジャンル記載なし,4.27,5065,56.2,25.5,11.6,3.1,3.6,4.17485,3.99003,4.1829,4.46062,4.44466,https://movies.yahoo.co.jp/movie/159561
159,殿、利息でござる！,2016年,129分,日本,ドラマ,コメディ,ジャンル記載なし,ジャンル記載なし,3.96,5057,39.1,32.8,18.0,5.1,5.1,4.3082,4.35462,3.97815,3.84343,3.50505,https://movies.yahoo.co.jp/movie/353460
160,イニシエーション・ラブ,2015年,110分,日本,ロマンス,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.39,5043,19.3,31.4,28.4,11.1,9.8,3.46918,3.8088,3.52896,3.43647,3.72383,https://movies.yahoo.co.jp/movie/351031
161,容疑者Xの献身,2008年,128分,日本,ドラマ,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,4.2,5041,47.7,32.4,13.8,3.8,2.2,4.37798,4.42451,4.01933,3.91555,3.92378,https://movies.yahoo.co.jp/movie/330418
162,ターミネーター：新起動／ジェニシス,2015年,125分,アメリカ,SF,アクション,サスペンス,ジャンル記載なし,3.29,5004,18.4,27.2,30.3,13.2,11.0,2.84683,3.03149,3.05784,3.6384,3.17383,https://movies.yahoo.co.jp/movie/350949
163,SPACE BATTLESHIP ヤマト,2010年,138分,日本,SF,アドベンチャー,ジャンル記載なし,ジャンル記載なし,2.71,5004,17.6,17.2,17.1,15.5,32.7,2.53908,2.93188,2.48963,3.25617,3.06477,https://movies.yahoo.co.jp/movie/335872
164,ミックス。,2017年,120分,日本,コメディ,ロマンス,ジャンル記載なし,ジャンル記載なし,3.51,5000,26.9,30.0,23.1,7.4,12.5,3.3185,4.20603,3.36541,3.35178,3.322,https://movies.yahoo.co.jp/movie/360430
165,ハン・ソロ／スター・ウォーズ・ストーリー,2018年,135分,アメリカ,SF,アクション,アドベンチャー,ジャンル記載なし,3.63,4956,21.4,38.0,28.1,7.7,4.9,3.43114,3.44916,3.50902,3.88674,3.56056,https://movies.yahoo.co.jp/movie/363273
166,図書館戦争　THE LAST MISSION,2015年,120分,日本,アクション,ロマンス,コメディ,ジャンル記載なし,4.05,4941,54.3,19.7,11.7,5.3,9.0,3.86893,4.54838,3.93851,4.13893,4.13754,https://movies.yahoo.co.jp/movie/352647
167,予告犯,2015年,119分,日本,サスペンス,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.34,4929,23.2,29.4,22.6,7.8,16.9,3.56183,4.02826,3.49026,3.37522,3.1865,https://movies.yahoo.co.jp/movie/351032
168,沈黙 サイレンス,2016年,162分,"アメリカ,イタリア,メキシコ",ドラマ,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.94,4915,36.5,36.2,17.1,5.4,4.8,4.1396,4.22644,4.04103,4.15805,3.55433,https://movies.yahoo.co.jp/movie/358205
169,orangeオレンジ,2015年,139分,日本,青春,ロマンス,SF,ジャンル記載なし,3.39,4899,36.1,18.5,15.9,8.1,21.5,3.2426,3.36023,2.97834,3.4852,3.39723,https://movies.yahoo.co.jp/movie/353452
170,イミテーション・ゲーム／エニグマと天才数学者の秘密,2014年,115分,"イギリス,アメリカ",サスペンス,戦争,ジャンル記載なし,ジャンル記載なし,4.12,4890,38.7,41.2,15.5,3.2,1.5,4.39465,4.48976,4.10708,3.93829,3.72698,https://movies.yahoo.co.jp/movie/350926
171,アナと雪の女王2,2019年,103分,アメリカ,ファンタジー,アドベンチャー,ミュージカル,アニメ,3.78,4887,33.5,31.7,20.7,7.4,6.8,3.24847,4.0316,3.77573,4.58189,3.93476,https://movies.yahoo.co.jp/movie/367239
172,アバウト・タイム　愛おしい時間について,2013年,124分,イギリス,ロマンス,コメディ,SF,ジャンル記載なし,4.09,4878,44.7,31.0,16.5,4.5,3.4,3.84798,4.21023,3.87706,3.92279,3.95404,https://movies.yahoo.co.jp/movie/349124
173,ジェイソン・ボーン,2016年,123分,アメリカ,アクション,サスペンス,ジャンル記載なし,ジャンル記載なし,3.65,4867,25.1,34.0,27.3,8.7,4.9,2.94511,3.76329,3.34648,3.58175,3.43275,https://movies.yahoo.co.jp/movie/355735
174,TOO YOUNG TO DIE！若くして死ぬ,2016年,125分,日本,コメディ,ファンタジー,ジャンル記載なし,ジャンル記載なし,3.69,4863,36.4,26.5,18.0,8.0,11.1,3.54904,4.37243,3.83406,3.61617,4.21029,https://movies.yahoo.co.jp/movie/353813
175,アベンジャーズ,2012年,144分,アメリカ,アクション,SF,ジャンル記載なし,ジャンル記載なし,3.98,4857,36.9,35.6,19.3,5.0,3.2,3.38328,4.26224,3.88559,4.30296,3.76391,https://movies.yahoo.co.jp/movie/341611
176,スーサイド・スクワッド,2016年,123分,アメリカ,アクション,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.11,4853,13.5,22.2,35.6,19.6,9.2,2.20056,3.63483,2.73943,3.25915,3.43864,https://movies.yahoo.co.jp/movie/355448
177,ラプラスの魔女,2018年,115分,日本,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,2.2,4843,12.2,8.0,15.5,16.0,48.2,2.6227,3.20232,2.3563,2.69782,2.89482,https://movies.yahoo.co.jp/movie/362337
178,アルキメデスの大戦,2019年,130分,日本,サスペンス,戦争,ジャンル記載なし,ジャンル記載なし,4.08,4842,41.5,37.6,12.1,5.1,3.8,4.04074,4.28822,3.96479,4.22882,3.6707,https://movies.yahoo.co.jp/movie/366009
179,クソ野郎と美しき世界,2018年,105分,日本,アクション,ファンタジー,ミュージカル,ジャンル記載なし,3.22,4842,41.6,13.6,5.6,3.1,36.1,3.8,4.38741,4.0598,4.2163,4.3582,https://movies.yahoo.co.jp/movie/362549
180,パッセンジャー,2016年,116分,アメリカ,SF,ロマンス,アドベンチャー,ジャンル記載なし,3.73,4801,22.2,40.7,28.0,5.8,3.3,3.66957,4.14992,3.82043,4.42274,3.48387,https://movies.yahoo.co.jp/movie/359024
